          vx        p(vx)           vy        p(vy)           vz        p(vz)        v_tot      p(vtot)
  0.1313E+01   0.1737E+00  -0.1694E+01   0.1032E+00   0.1249E+01   0.1872E+00   0.2481E+01   0.2596E+00
  0.1295E+01   0.1776E+00  -0.1401E+01   0.1558E+00   0.1491E+01   0.1385E+00   0.2421E+01   0.2822E+00
 -0.1177E+01   0.2026E+00  -0.1468E+01   0.1427E+00  -0.1378E+01   0.1605E+00   0.2333E+01   0.3173E+00
  0.2689E+00   0.3681E+00  -0.7539E+00   0.2938E+00   0.1325E+01   0.1712E+00   0.1548E+01   0.5576E+00
 -0.2561E+00   0.3692E+00   0.8219E+00   0.2798E+00  -0.9844E+00   0.2449E+00   0.1308E+01   0.5436E+00
 -0.6413E+00   0.3155E+00   0.1749E+01   0.9475E-01  -0.9482E+00   0.2528E+00   0.2090E+01   0.4148E+00
 -0.6103E+00   0.3211E+00  -0.1648E+00   0.3757E+00   0.1035E+00   0.3785E+00   0.6406E+00   0.2355E+00
 -0.5287E+00   0.3350E+00   0.1408E+01   0.1545E+00  -0.2067E+00   0.3731E+00   0.1518E+01   0.5591E+00
 -0.6619E+00   0.3117E+00  -0.3201E+00   0.3631E+00   0.1543E+01   0.1289E+00   0.1709E+01   0.5355E+00
  0.8858E-01   0.3790E+00   0.1363E+01   0.1635E+00  -0.4007E+00   0.3536E+00   0.1423E+01   0.5579E+00
  0.8536E+00   0.2731E+00   0.1317E+00   0.3774E+00   0.4383E+00   0.3486E+00   0.9685E+00   0.4235E+00
 -0.1689E+01   0.1040E+00  -0.1672E+01   0.1068E+00  -0.7078E+00   0.3029E+00   0.2480E+01   0.2599E+00
  0.8264E+00   0.2789E+00  -0.6334E+00   0.3170E+00   0.1334E+01   0.1694E+00   0.1692E+01   0.5389E+00
 -0.1733E+01   0.9711E-01  -0.1608E+01   0.1175E+00  -0.1889E+01   0.7514E-01   0.3026E+01   0.9865E-01
  0.1383E+01   0.1594E+00  -0.5192E-02   0.3804E+00   0.9385E+00   0.2549E+00   0.1672E+01   0.5426E+00
 -0.1645E+01   0.1111E+00   0.8136E+00   0.2816E+00  -0.2568E+00   0.3691E+00   0.1853E+01   0.4985E+00
 -0.1550E+01   0.1276E+00   0.5973E+00   0.3234E+00   0.1228E+01   0.1917E+00   0.2066E+01   0.4243E+00
  0.6329E+00   0.3171E+00  -0.1062E+01   0.2277E+00  -0.6044E+00   0.3222E+00   0.1377E+01   0.5538E+00
 -0.3710E+00   0.3573E+00   0.1698E+01   0.1026E+00   0.8103E+00   0.2822E+00   0.1917E+01   0.4781E+00
 -0.1457E+01   0.1450E+00  -0.1340E+01   0.1682E+00   0.1319E+01   0.1725E+00   0.2378E+01   0.2991E+00
 -0.9725E+00   0.2475E+00  -0.4742E-02   0.3804E+00  -0.5230E+00   0.3359E+00   0.1104E+01   0.4845E+00
  0.1541E+01   0.1293E+00   0.5422E+00   0.3328E+00  -0.2397E+00   0.3706E+00   0.1651E+01   0.5461E+00
  0.1098E+01   0.2199E+00   0.1514E+01   0.1342E+00   0.5647E+00   0.3291E+00   0.1953E+01   0.4658E+00
  0.2213E+00   0.3720E+00  -0.8399E+00   0.2760E+00   0.6238E-01   0.3797E+00   0.8708E+00   0.3715E+00
 -0.5290E+00   0.3349E+00  -0.6470E-02   0.3804E+00   0.1369E+01   0.1623E+00   0.1467E+01   0.5596E+00
 -0.5800E+00   0.3264E+00  -0.8384E+00   0.2763E+00  -0.8501E+00   0.2739E+00   0.1327E+01   0.5470E+00
  0.1704E+01   0.1017E+00  -0.1177E+01   0.2027E+00  -0.1659E+01   0.1089E+00   0.2653E+01   0.1985E+00
  0.2123E-01   0.3803E+00  -0.9569E+00   0.2509E+00   0.1634E+01   0.1129E+00   0.1894E+01   0.4858E+00
  0.2575E+00   0.3691E+00  -0.6776E+00   0.3087E+00  -0.3456E-01   0.3802E+00   0.7257E+00   0.2867E+00
 -0.2749E+00   0.3675E+00   0.1062E+01   0.2279E+00  -0.1334E+01   0.1693E+00   0.1727E+01   0.5316E+00
 -0.1301E+01   0.1762E+00   0.1114E+01   0.2165E+00   0.1645E+01   0.1112E+00   0.2375E+01   0.3005E+00
 -0.3154E+00   0.3636E+00   0.5197E+00   0.3364E+00   0.3455E+00   0.3603E+00   0.6992E+00   0.2708E+00
 -0.5819E+00   0.3261E+00  -0.1503E+01   0.1363E+00   0.1327E+00   0.3773E+00   0.1617E+01   0.5510E+00
 -0.1596E+01   0.1195E+00  -0.1589E+01   0.1208E+00   0.9047E+00   0.2622E+00   0.2427E+01   0.2801E+00
 -0.1025E+00   0.3786E+00  -0.3956E+00   0.3543E+00  -0.1194E+01   0.1989E+00   0.1262E+01   0.5341E+00
 -0.2397E+00   0.3706E+00   0.9914E+00   0.2433E+00   0.1014E+01   0.2384E+00   0.1438E+01   0.5587E+00
 -0.1697E+01   0.1027E+00   0.1464E+00   0.3767E+00  -0.1651E+01   0.1102E+00   0.2372E+01   0.3016E+00
 -0.1659E+01   0.1089E+00  -0.1504E+01   0.1360E+00   0.1486E+01   0.1394E+00   0.2687E+01   0.1874E+00
  0.6382E+00   0.3161E+00   0.3148E+00   0.3636E+00  -0.1677E+01   0.1059E+00   0.1822E+01   0.5078E+00
  0.1007E+01   0.2398E+00   0.7470E-01   0.3794E+00  -0.9223E+00   0.2584E+00   0.1368E+01   0.5528E+00
 -0.5317E+00   0.3345E+00   0.8452E+00   0.2749E+00   0.9951E+00   0.2425E+00   0.1410E+01   0.5569E+00
  0.3583E+00   0.3588E+00   0.1722E+01   0.9886E-01   0.1115E+01   0.2162E+00   0.2082E+01   0.4178E+00
 -0.1495E+01   0.1376E+00  -0.1316E+01   0.1731E+00  -0.2188E-01   0.3803E+00   0.1992E+01   0.4519E+00
 -0.1462E+01   0.1440E+00   0.8848E+00   0.2665E+00   0.8924E-02   0.3804E+00   0.1709E+01   0.5356E+00
  0.1155E+01   0.2075E+00   0.5657E+00   0.3289E+00   0.2420E+00   0.3704E+00   0.1308E+01   0.5437E+00
 -0.1511E+01   0.1347E+00  -0.1030E+01   0.2349E+00  -0.1345E+01   0.1671E+00   0.2270E+01   0.3424E+00
  0.1043E+01   0.2321E+00  -0.2816E+00   0.3669E+00   0.9840E+00   0.2449E+00   0.1461E+01   0.5595E+00
  0.1666E+01   0.1078E+00   0.4699E-01   0.3800E+00  -0.1621E+01   0.1152E+00   0.2325E+01   0.3204E+00
