 -0.695350E-02  0.416800E-04  0.177969E-05  0.174039E-08
 -0.689787E-02  0.415429E-04  0.534500E-05  0.175438E-08
 -0.684225E-02  0.412589E-04  0.892879E-05  0.178202E-08
 -0.678662E-02  0.408045E-04  0.125462E-04  0.182241E-08
 -0.673099E-02  0.401323E-04  0.162185E-04  0.187364E-08
 -0.667536E-02  0.391467E-04  0.199837E-04  0.193181E-08
 -0.661973E-02  0.376458E-04  0.239272E-04  0.198972E-08
 -0.656411E-02  0.351708E-04  0.282937E-04  0.203751E-08
 -0.650848E-02  0.305692E-04  0.339592E-04  0.208770E-08
 -0.645285E-02  0.209396E-04  0.451333E-04  0.247548E-08
 -0.639722E-02 -0.137147E-05  0.774831E-04  0.600551E-08
 -0.634159E-02  0.106591E-03  0.676352E-04  0.159362E-07
 -0.628597E-02  0.972504E-04  0.282288E-04  0.102545E-07
 -0.623034E-02  0.683542E-04  0.176068E-04  0.498230E-08
 -0.617471E-02  0.523028E-04  0.231463E-04  0.327134E-08
 -0.611908E-02  0.441425E-04  0.303145E-04  0.286752E-08
 -0.606345E-02  0.394789E-04  0.365905E-04  0.289745E-08
 -0.600783E-02  0.363116E-04  0.418902E-04  0.307332E-08
 -0.595220E-02  0.337973E-04  0.464635E-04  0.330112E-08
 -0.589657E-02  0.315688E-04  0.505145E-04  0.354830E-08
 -0.584094E-02  0.294541E-04  0.541688E-04  0.380181E-08
 -0.578531E-02  0.273659E-04  0.574931E-04  0.405435E-08
 -0.572969E-02  0.252560E-04  0.605117E-04  0.429953E-08
 -0.567406E-02  0.230958E-04  0.632156E-04  0.452963E-08
 -0.561843E-02  0.208679E-04  0.655632E-04  0.473400E-08
 -0.556280E-02  0.185616E-04  0.674744E-04  0.489732E-08
 -0.550717E-02  0.161726E-04  0.688147E-04  0.499701E-08
 -0.545155E-02  0.137051E-04  0.693626E-04  0.499901E-08
 -0.539592E-02  0.111820E-04  0.687426E-04  0.485058E-08
 -0.534029E-02  0.868075E-05  0.662722E-04  0.446736E-08
 -0.528466E-02  0.648749E-05  0.605467E-04  0.370798E-08
 -0.522903E-02  0.586763E-05  0.477427E-04  0.231379E-08
 -0.517341E-02  0.109749E-04  0.885273E-05  0.198819E-09
 -0.511778E-02 -0.898826E-04 -0.177283E-03  0.395081E-07
 -0.506215E-02 -0.359175E-03  0.188693E-03  0.164612E-06
 -0.500652E-02 -0.150306E-03  0.277422E-03  0.995549E-07
 -0.495089E-02 -0.757325E-04  0.247844E-03  0.671620E-07
