      0.49      0.8886      0.8886  0.4392E-06
      0.49      0.8869      0.8869  0.4458E-06
      0.49      0.8851      0.8851  0.4525E-06
      0.50      0.8834      0.8834  0.4593E-06
      0.50      0.8816      0.8816  0.4660E-06
      0.51      0.8798      0.8798  0.4728E-06
      0.51      0.8780      0.8780  0.4797E-06
      0.51      0.8762      0.8762  0.4865E-06
      0.52      0.8744      0.8744  0.4934E-06
      0.52      0.8726      0.8726  0.5003E-06
      0.53      0.8708      0.8708  0.5073E-06
      0.53      0.8689      0.8689  0.5142E-06
      0.53      0.8671      0.8671  0.5212E-06
      0.54      0.8652      0.8652  0.5283E-06
      0.54      0.8633      0.8633  0.5353E-06
      0.55      0.8614      0.8614  0.5424E-06
      0.55      0.8595      0.8595  0.5495E-06
      0.55      0.8576      0.8576  0.5567E-06
      0.56      0.8557      0.8557  0.5639E-06
      0.56      0.8538      0.8538  0.5710E-06
      0.57      0.8519      0.8519  0.5783E-06
      0.57      0.8499      0.8499  0.5855E-06
      0.57      0.8480      0.8480  0.5928E-06
      0.58      0.8460      0.8460  0.6000E-06
      0.58      0.8440      0.8440  0.6074E-06
      0.59      0.8421      0.8421  0.6147E-06
      0.59      0.8401      0.8401  0.6220E-06
      0.59      0.8381      0.8381  0.6294E-06
      0.60      0.8361      0.8361  0.6368E-06
      0.60      0.8341      0.8341  0.6442E-06
      0.61      0.8320      0.8320  0.6516E-06
      0.61      0.8300      0.8300  0.6591E-06
      0.61      0.8280      0.8280  0.6665E-06
      0.62      0.8259      0.8259  0.6740E-06
      0.62      0.8239      0.8239  0.6815E-06
      0.63      0.8218      0.8218  0.6890E-06
      0.63      0.8197      0.8197  0.6965E-06
      0.63      0.8177      0.8177  0.7040E-06
      0.64      0.8156      0.8156  0.7116E-06
      0.64      0.8135      0.8135  0.7191E-06
      0.65      0.8114      0.8114  0.7267E-06
      0.65      0.8093      0.8093  0.7343E-06
      0.65      0.8071      0.8071  0.7419E-06
      0.66      0.8050      0.8050  0.7495E-06
      0.66      0.8029      0.8029  0.7571E-06
      0.67      0.8007      0.8007  0.7647E-06
      0.67      0.7986      0.7986  0.7723E-06
      0.67      0.7964      0.7964  0.7799E-06
      0.68      0.7943      0.7943  0.7876E-06
      0.68      0.7921      0.7921  0.7952E-06
      0.69      0.7899      0.7899  0.8029E-06
      0.69      0.7877      0.7877  0.8105E-06
      0.69      0.7856      0.7856  0.8182E-06
      0.70      0.7834      0.7834  0.8258E-06
      0.70      0.7812      0.7812  0.8335E-06
      0.71      0.7790      0.7790  0.8411E-06
      0.71      0.7767      0.7767  0.8488E-06
      0.71      0.7745      0.7745  0.8564E-06
      0.72      0.7723      0.7723  0.8641E-06
      0.72      0.7701      0.7701  0.8718E-06
      0.73      0.7678      0.7678  0.8794E-06
      0.73      0.7656      0.7656  0.8871E-06
      0.73      0.7633      0.7633  0.8947E-06
      0.74      0.7611      0.7611  0.9023E-06
      0.74      0.7588      0.7588  0.9100E-06
      0.75      0.7565      0.7565  0.9176E-06
      0.75      0.7543      0.7543  0.9252E-06
      0.76      0.7520      0.7520  0.9328E-06
      0.76      0.7497      0.7497  0.9404E-06
      0.76      0.7474      0.7474  0.9480E-06
      0.77      0.7451      0.7451  0.9556E-06
      0.77      0.7428      0.7428  0.9632E-06
      0.78      0.7405      0.7405  0.9707E-06
      0.78      0.7382      0.7382  0.9783E-06
      0.78      0.7359      0.7359  0.9858E-06
      0.79      0.7336      0.7336  0.9933E-06
      0.79      0.7313      0.7313  0.1001E-05
      0.80      0.7289      0.7289  0.1008E-05
      0.80      0.7266      0.7266  0.1016E-05
      0.80      0.7243      0.7243  0.1023E-05
      0.81      0.7219      0.7219  0.1031E-05
      0.81      0.7196      0.7196  0.1038E-05
      0.82      0.7173      0.7173  0.1045E-05
      0.82      0.7149      0.7149  0.1053E-05
      0.82      0.7125      0.7125  0.1060E-05
      0.83      0.7102      0.7102  0.1068E-05
      0.83      0.7078      0.7078  0.1075E-05
      0.84      0.7055      0.7055  0.1082E-05
      0.84      0.7031      0.7031  0.1089E-05
      0.84      0.7007      0.7007  0.1097E-05
      0.85      0.6984      0.6983  0.1104E-05
      0.85      0.6960      0.6960  0.1111E-05
      0.86      0.6936      0.6936  0.1118E-05
      0.86      0.6912      0.6912  0.1125E-05
      0.86      0.6888      0.6888  0.1132E-05
      0.87      0.6864      0.6864  0.1139E-05
      0.87      0.6840      0.6840  0.1146E-05
      0.88      0.6816      0.6816  0.1153E-05
      0.88      0.6792      0.6792  0.1160E-05
      0.88      0.6768      0.6768  0.1167E-05
      0.89      0.6744      0.6744  0.1174E-05
      0.89      0.6720      0.6720  0.1181E-05
      0.90      0.6696      0.6696  0.1188E-05
      0.90      0.6672      0.6672  0.1194E-05
      0.90      0.6648      0.6648  0.1201E-05
      0.91      0.6624      0.6624  0.1208E-05
      0.91      0.6600      0.6600  0.1214E-05
      0.92      0.6576      0.6576  0.1221E-05
      0.92      0.6551      0.6551  0.1228E-05
      0.92      0.6527      0.6527  0.1234E-05
      0.93      0.6503      0.6503  0.1241E-05
      0.93      0.6479      0.6479  0.1247E-05
      0.94      0.6455      0.6454  0.1253E-05
      0.94      0.6430      0.6430  0.1260E-05
      0.94      0.6406      0.6406  0.1266E-05
      0.95      0.6382      0.6382  0.1272E-05
      0.95      0.6357      0.6357  0.1278E-05
      0.96      0.6333      0.6333  0.1284E-05
      0.96      0.6309      0.6309  0.1290E-05
      0.96      0.6284      0.6284  0.1296E-05
      0.97      0.6260      0.6260  0.1302E-05
      0.97      0.6236      0.6236  0.1308E-05
      0.98      0.6211      0.6211  0.1314E-05
      0.98      0.6187      0.6187  0.1320E-05
      0.98      0.6163      0.6163  0.1326E-05
      0.99      0.6138      0.6138  0.1331E-05
      0.99      0.6114      0.6114  0.1337E-05
      1.00      0.6090      0.6090  0.1342E-05
      1.00      0.6065      0.6065  0.1348E-05
