   0.000E+00   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.222E-15   0.222E-15   0.222E-15   0.222E-15   0.222E-15
   0.111E+01   0.134E+01  -0.111E+00   0.149E+01  -0.728E+00  -0.728E+00  -0.278E+00   0.108E+01   0.115E+00   0.154E+01   0.154E+01   0.121E+01
   0.222E+01   0.189E+00  -0.246E+01   0.223E+01  -0.194E+01  -0.247E+01  -0.202E+01   0.140E+02   0.108E+02   0.113E+02   0.141E+02   0.117E+02
   0.333E+01  -0.117E+01  -0.467E+01   0.333E+01  -0.478E+00  -0.316E+01  -0.306E+01   0.298E+01   0.384E+01   0.592E+00   0.170E+01   0.161E+01
   0.444E+01  -0.123E+01  -0.384E+01   0.498E+01   0.231E+01  -0.274E+01  -0.215E+01   0.212E+01   0.505E+01   0.288E+01   0.123E+01   0.748E+00
   0.556E+01   0.817E-01   0.274E+01   0.744E+01   0.243E+01  -0.181E+01   0.103E+01   0.326E+02   0.901E+02   0.288E+02   0.232E+02   0.116E+02
   0.667E+01   0.130E+01   0.141E+02   0.111E+02  -0.133E+01  -0.110E+01   0.512E+01   0.981E+01   0.754E+01   0.202E+01   0.185E+01   0.294E+01
   0.778E+01   0.107E+01   0.220E+02   0.166E+02  -0.438E+01  -0.965E+00   0.728E+01   0.195E+02   0.145E+02   0.508E+01   0.190E+01   0.578E+01
   0.889E+01  -0.349E+00   0.126E+02   0.248E+02  -0.151E+01  -0.130E+01   0.466E+01   0.370E+02   0.720E+02   0.332E+01   0.273E+01   0.143E+02
   0.100E+02  -0.138E+01  -0.240E+02   0.370E+02   0.489E+01  -0.175E+01  -0.321E+01   0.164E+02   0.278E+02   0.453E+01   0.267E+00   0.132E+01
