   0.000E+00   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.100E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   0.111E+01  -0.453E+00   0.211E+01   0.149E+01   0.149E+01   0.197E+01   0.192E+01   0.567E+01   0.430E+01   0.430E+01   0.535E+01   0.525E+01
   0.222E+01  -0.140E+01   0.199E+01   0.223E+01  -0.238E+00   0.200E+01   0.177E+01   0.242E+01   0.259E+01   0.830E+00   0.243E+01   0.226E+01
   0.333E+01  -0.791E+00  -0.742E+00   0.333E+01  -0.224E+01   0.137E+01   0.606E-01   0.619E-01   0.521E+01   0.184E+01   0.274E+01   0.108E+01
   0.444E+01   0.700E+00  -0.593E+01   0.498E+01  -0.139E+01   0.686E+00  -0.265E+01   0.947E+01   0.612E+01   0.299E+01   0.200E-01   0.478E+01
   0.556E+01   0.141E+01  -0.102E+02   0.744E+01   0.204E+01   0.367E+00  -0.468E+01   0.822E+01   0.427E+01   0.442E+00   0.740E+00   0.432E+01
   0.667E+01   0.553E+00  -0.714E+01   0.111E+02   0.348E+01   0.490E+00  -0.402E+01   0.139E+02   0.191E+02   0.529E+01   0.114E+00   0.826E+01
   0.778E+01  -0.921E+00   0.849E+01   0.166E+02  -0.150E+00   0.838E+00   0.295E+00   0.102E+02   0.190E+02   0.838E+00   0.191E+01   0.132E+01
   0.889E+01  -0.137E+01   0.329E+02   0.248E+02  -0.492E+01   0.113E+01   0.673E+01   0.250E+02   0.191E+02   0.259E+01   0.182E+01   0.591E+01
   0.100E+02  -0.295E+00   0.469E+02   0.370E+02  -0.356E+01   0.121E+01   0.112E+02   0.160E+03   0.127E+03   0.111E+02   0.509E+01   0.388E+02
