     MC_step       U_adim       P_adim
         163   0.9431E+04   0.1447E+03
         164   0.9100E+04   0.1403E+03
         165   0.9627E+04   0.1471E+03
         166   0.9794E+04   0.1493E+03
         167   0.9794E+04   0.1493E+03
         168   0.9547E+04   0.1463E+03
         169   0.1004E+05   0.1527E+03
         170   0.9774E+04   0.1494E+03
         171   0.1028E+05   0.1559E+03
         172   0.1081E+05   0.1626E+03
         173   0.1090E+05   0.1639E+03
         174   0.1055E+05   0.1594E+03
         175   0.1087E+05   0.1635E+03
         176   0.1099E+05   0.1652E+03
         177   0.1156E+05   0.1727E+03
         178   0.1180E+05   0.1758E+03
         179   0.1071E+05   0.1620E+03
         180   0.1104E+05   0.1662E+03
         181   0.1034E+05   0.1570E+03
         182   0.1065E+05   0.1610E+03
         183   0.1059E+05   0.1603E+03
         184   0.1079E+05   0.1629E+03
         185   0.1112E+05   0.1671E+03
         186   0.1137E+05   0.1703E+03
         187   0.1124E+05   0.1687E+03
         188   0.1111E+05   0.1671E+03
         189   0.1125E+05   0.1692E+03
         190   0.1183E+05   0.1768E+03
         191   0.1174E+05   0.1755E+03
         192   0.1121E+05   0.1687E+03
         193   0.1046E+05   0.1590E+03
         194   0.1067E+05   0.1617E+03
         195   0.1060E+05   0.1606E+03
         196   0.1036E+05   0.1576E+03
         197   0.1084E+05   0.1634E+03
         198   0.1086E+05   0.1637E+03
         199   0.1101E+05   0.1657E+03
         200   0.1082E+05   0.1634E+03
         201   0.1085E+05   0.1637E+03
         202   0.1148E+05   0.1718E+03
         203   0.1141E+05   0.1708E+03
         204   0.1139E+05   0.1705E+03
         205   0.1133E+05   0.1697E+03
         206   0.1133E+05   0.1695E+03
         207   0.1197E+05   0.1778E+03
         208   0.1117E+05   0.1676E+03
         209   0.1115E+05   0.1674E+03
         210   0.1168E+05   0.1742E+03
         211   0.1182E+05   0.1760E+03
         212   0.1158E+05   0.1730E+03
         213   0.1164E+05   0.1736E+03
         214   0.1197E+05   0.1779E+03
         215   0.1241E+05   0.1838E+03
         216   0.1230E+05   0.1823E+03
         217   0.1193E+05   0.1779E+03
         218   0.1191E+05   0.1777E+03
         219   0.1151E+05   0.1726E+03
         220   0.1090E+05   0.1648E+03
         221   0.1014E+05   0.1551E+03
         222   0.1023E+05   0.1562E+03
         223   0.1039E+05   0.1583E+03
         224   0.1057E+05   0.1608E+03
         225   0.1029E+05   0.1572E+03
         226   0.1076E+05   0.1634E+03
         227   0.1072E+05   0.1630E+03
         228   0.1070E+05   0.1629E+03
         229   0.1035E+05   0.1583E+03
         230   0.1040E+05   0.1589E+03
         231   0.1024E+05   0.1569E+03
         232   0.1009E+05   0.1551E+03
         233   0.1050E+05   0.1603E+03
         234   0.1041E+05   0.1591E+03
         235   0.1048E+05   0.1601E+03
         236   0.1086E+05   0.1651E+03
         237   0.1117E+05   0.1693E+03
         238   0.1155E+05   0.1742E+03
         239   0.1221E+05   0.1827E+03
         240   0.1236E+05   0.1845E+03
         241   0.1247E+05   0.1860E+03
         242   0.1246E+05   0.1859E+03
         243   0.1303E+05   0.1930E+03
         244   0.1336E+05   0.1972E+03
         245   0.1358E+05   0.1999E+03
         246   0.1255E+05   0.1869E+03
         247   0.1315E+05   0.1948E+03
         248   0.1258E+05   0.1873E+03
         249   0.1290E+05   0.1914E+03
         250   0.1354E+05   0.1994E+03
         251   0.1342E+05   0.1979E+03
         252   0.1314E+05   0.1942E+03
         253   0.1187E+05   0.1781E+03
         254   0.1159E+05   0.1746E+03
         255   0.1186E+05   0.1780E+03
         256   0.1196E+05   0.1793E+03
         257   0.1244E+05   0.1854E+03
         258   0.1264E+05   0.1881E+03
         259   0.1271E+05   0.1889E+03
         260   0.1137E+05   0.1717E+03
         261   0.1158E+05   0.1744E+03
         262   0.1097E+05   0.1664E+03
         263   0.1085E+05   0.1651E+03
         264   0.1074E+05   0.1637E+03
         265   0.1102E+05   0.1672E+03
         266   0.1098E+05   0.1668E+03
         267   0.1162E+05   0.1750E+03
         268   0.1153E+05   0.1739E+03
         269   0.1133E+05   0.1714E+03
         270   0.1109E+05   0.1684E+03
         271   0.1170E+05   0.1764E+03
         272   0.1207E+05   0.1812E+03
         273   0.1240E+05   0.1854E+03
         274   0.1269E+05   0.1891E+03
         275   0.1270E+05   0.1893E+03
         276   0.1223E+05   0.1835E+03
         277   0.1253E+05   0.1873E+03
         278   0.1255E+05   0.1875E+03
         279   0.1286E+05   0.1915E+03
         280   0.1290E+05   0.1920E+03
         281   0.1338E+05   0.1981E+03
         282   0.1320E+05   0.1955E+03
         283   0.1375E+05   0.2027E+03
         284   0.1355E+05   0.2001E+03
         285   0.1344E+05   0.1989E+03
         286   0.1380E+05   0.2035E+03
         287   0.1401E+05   0.2058E+03
         288   0.1453E+05   0.2125E+03
         289   0.1440E+05   0.2111E+03
         290   0.1418E+05   0.2083E+03
         291   0.1440E+05   0.2110E+03
         292   0.1329E+05   0.1968E+03
         293   0.1357E+05   0.2003E+03
         294   0.1364E+05   0.2013E+03
         295   0.1401E+05   0.2061E+03
         296   0.1376E+05   0.2028E+03
         297   0.1327E+05   0.1967E+03
         298   0.1354E+05   0.2003E+03
         299   0.1291E+05   0.1924E+03
         300   0.1307E+05   0.1944E+03
